LastName,Name,State,District,Party,Term,ImageUrl
Strong,"Strong, Dale W.",Alabama,5.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/s001220_200.jpg
Kiley,"Kiley, Kevin",California,3.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/k000401_200.jpg
Crane,"Crane, Elijah",Arizona,2.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/c001132_200.jpg
Ciscomani,"Ciscomani, Juan",Arizona,6.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/c001133_200.jpg
Moore,"Moore, Barry",Alabama,1.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/m001212_200.jpg
Biggs,"Biggs, Andy",Arizona,5.0,Republican,House of Representatives: 2017,https://www.congress.gov/img/member/b001302_200.jpg
DeSaulnier,"DeSaulnier, Mark",California,10.0,Democratic,House of Representatives: 2015,https://www.congress.gov/img/member/115_rp_ca_11_desaulnier_mark_200.jpg
Huffman,"Huffman, Jared",California,2.0,Democratic,House of Representatives: 2013,https://www.congress.gov/img/member/h001068_200.jpg
Garamendi,"Garamendi, John",California,8.0,Democratic,House of Representatives: 2009,https://www.congress.gov/img/member/g000559_200.jpg
Schweikert,"Schweikert, David",Arizona,1.0,Republican,House of Representatives: 2011,https://www.congress.gov/img/member/s001183_200.jpg
Matsui,"Matsui, Doris O.",California,7.0,Democratic,House of Representatives: 2005,https://www.congress.gov/img/member/m001163_200.jpg
Aderholt,"Aderholt, Robert B.",Alabama,4.0,Republican,House of Representatives: 1997,https://www.congress.gov/img/member/a000055_200.jpg
Bera,"Bera, Ami",California,6.0,Democratic,House of Representatives: 2013,https://www.congress.gov/img/member/b001287_200.jpg
Huizenga,"Huizenga, Bill",Michigan,4.0,Republican,House of Representatives: 2011,https://www.congress.gov/img/member/h001058_200.jpg
Rubio,"Rubio, Marco",Florida,,Republican,Senate: 2011 - 2025,https://www.congress.gov/img/member/r000595_200.jpg
Justice,"Justice, James C.",West Virginia,,Republican,Senate: 2025,
